timestamp,temperature,humidity,light,sound,distance,motion
1776478965923,17.0,76.0,312,1,513,0
1776478976430,17.0,76.0,312,2,514,0
1776478987013,17.0,76.0,312,2,514,0
1776478997546,17.0,76.0,312,2,514,0
1776478997546,17.0,76.0,312,2,514,0
1776479008053,17.0,76.0,313,1,513,0
1776479018560,17.0,76.0,312,1,513,0
1776479029069,17.0,76.0,312,2,514,0
1776479039600,17.0,76.0,312,2,514,0
1776479050137,17.0,76.0,312,2,514,0
1776479060645,17.0,76.0,312,1,514,0
1776479071376,17.0,76.0,311,515,514,0
1776479081757,17.0,76.0,312,2,514,0
1776479092264,17.0,76.0,311,1,514,0
1776479102772,17.0,76.0,312,2,514,0
1776479113304,17.0,76.0,312,2,514,0
1776479123837,17.0,76.0,311,2,514,0
1776479134295,17.0,76.0,312,1,513,0
1776479144803,17.0,76.0,312,2,514,0
1776479155336,17.0,76.0,312,1,513,0
1776479165844,17.0,76.0,312,1,514,0
1776479176353,17.0,76.0,312,1,514,0
1776479186887,17.0,76.0,312,1,514,0
1776479197394,17.0,76.0,311,1,514,0
1776479207927,17.0,76.0,312,1,514,0
1776479218409,17.0,76.0,312,2,514,0
1776479228942,17.0,76.0,312,1,513,0
1776479239475,17.0,76.0,312,2,514,0
1776479250006,17.0,76.0,311,2,513,0
1776479260539,17.0,76.0,311,1,514,0
1776479271071,17.0,76.0,312,2,514,0
1776479281603,17.0,76.0,312,2,514,0
1776479292115,17.0,76.0,312,0,514,0
1776479302647,17.0,76.0,312,1,514,0
1776479313153,17.0,76.0,311,1,514,0
1776479323660,17.0,76.0,312,2,514,0
1776479334141,17.0,76.0,311,0,513,0
1776479344672,17.0,76.0,312,1,514,0
1776479355178,17.0,76.0,311,1,514,0
1776479365689,17.0,76.0,313,1,514,0
1776479376220,17.0,76.0,312,2,514,0
1776479386752,17.0,76.0,312,2,514,0
1776479397259,17.0,76.0,312,1,513,0
1776479407791,17.0,76.0,311,2,514,0
1776479418298,17.0,76.0,311,1,514,0
1776479428829,17.0,76.0,311,1,514,0
1776479439340,17.0,76.0,2,2,514,0
1776479449872,17.0,76.0,312,2,514,0
1776479460405,17.0,76.0,312,2,514,0
1776479470915,17.0,76.0,311,2,514,0
1776479481423,17.0,76.0,312,1,514,0
1776479491956,17.0,76.0,313,1,514,0
1776479502489,17.0,76.0,313,2,514,0
1776479512997,17.0,76.0,312,1,514,0
1776479523529,17.0,76.0,311,2,514,0
1776479534062,17.0,76.0,312,1,514,0
1776479544596,17.0,76.0,312,2,514,0
1776479555105,17.0,76.0,312,2,513,0
1776479565637,17.0,76.0,312,1,514,0
1776479576170,17.0,76.0,312,2,514,0
1776479586679,17.0,76.0,310,2,514,0
1776479597211,17.0,76.0,311,2,514,0
1776479607722,17.0,76.0,311,1,514,0
1776479618227,17.0,76.0,311,1,514,0
1776479628759,17.0,76.0,312,1,514,0
1776479628759,17.0,76.0,312,1,514,0
1776479639322,17.0,76.0,313,2,514,2
1776479649828,17.0,76.0,311,1,514,0
1776479660335,17.0,76.0,312,0,513,0
1776479670866,17.0,76.0,312,2,514,0
1776479681401,17.0,76.0,312,1,514,0
1776479691909,17.0,76.0,312,2,514,0
1776479702415,17.0,76.0,312,2,514,0
1776479712951,17.0,76.0,312,1,514,0
1776479723458,17.0,76.0,312,1,513,0
1776479733941,17.0,76.0,311,1,514,0
1776479744474,17.0,76.0,311,2,514,0
1776479754983,17.0,76.0,312,2,513,0
